# a    t_Gyr
5.99999e-06 0.000133246
5.99999e-06 0.000133471
5.99999e-06 0.000133696
5.99999e-06 0.00013392
5.99999e-06 0.000134145
5.99999e-06 0.00013437
5.99999e-06 0.000134594
5.99999e-06 0.000134819
5.99999e-06 0.000135044
5.99999e-06 0.000135268
5.99999e-06 0.000135493
5.99999e-06 0.000135718
5.99999e-06 0.000135943
5.99999e-06 0.000136167
5.99999e-06 0.000136392
5.99999e-06 0.000136617
5.99999e-06 0.000136841
5.99999e-06 0.000137066
5.99999e-06 0.000137291
5.99999e-06 0.000137515
5.99999e-06 0.00013774
5.99999e-06 0.000137965
5.99999e-06 0.00013819
5.99999e-06 0.000138414
5.99999e-06 0.000138639
5.99999e-06 0.000138864
5.99999e-06 0.000139088
5.99999e-06 0.000139313
5.99999e-06 0.000139538
5.99999e-06 0.000139762
5.99999e-06 0.000139987
5.99999e-06 0.000140212
5.99999e-06 0.000140437
5.99999e-06 0.000140661
5.99999e-06 0.000140886
5.99999e-06 0.000141111
5.99999e-06 0.000141335
5.99999e-06 0.00014156
5.99999e-06 0.000141785
5.99999e-06 0.000142009
5.99999e-06 0.000142234
5.99999e-06 0.000142459
5.99999e-06 0.000142684
5.99999e-06 0.000142908
5.99999e-06 0.000143133
5.99999e-06 0.000143358
5.99999e-06 0.000143582
5.99999e-06 0.000143807
5.99999e-06 0.000144032
5.99999e-06 0.000144256
5.99999e-06 0.000144481
5.99999e-06 0.000144706
5.99999e-06 0.000144931
5.99999e-06 0.000145155
5.99999e-06 0.00014538
5.99999e-06 0.000145605
5.99999e-06 0.000145829
5.99999e-06 0.000146054
5.99999e-06 0.000146279
5.99999e-06 0.000146503
5.99999e-06 0.000146728
5.99999e-06 0.000146953
5.99999e-06 0.000147178
5.99999e-06 0.000147402
5.99999e-06 0.000147627
5.99999e-06 0.000147852
5.99999e-06 0.000148076
5.99999e-06 0.000148301
5.99999e-06 0.000148526
5.99999e-06 0.00014875
5.99999e-06 0.000148975
5.99999e-06 0.0001492
5.99999e-06 0.000149424
5.99999e-06 0.000149649
5.99999e-06 0.000149874
5.99999e-06 0.000150099
5.99999e-06 0.000150323
5.99999e-06 0.000150548
5.99999e-06 0.000150773
5.99999e-06 0.000150997
5.99999e-06 0.000151222
5.99999e-06 0.000151447
5.99999e-06 0.000151671
5.99999e-06 0.000151896
5.99999e-06 0.000152121
5.99999e-06 0.000152346
5.99999e-06 0.00015257
5.99999e-06 0.000152795
5.99999e-06 0.00015302
5.99999e-06 0.000153244
5.99999e-06 0.000153469
5.99999e-06 0.000153694
5.99999e-06 0.000153918
5.99999e-06 0.000154143
5.99999e-06 0.000154368
5.99999e-06 0.000154593
5.99999e-06 0.000154817
5.99999e-06 0.000155042
5.99999e-06 0.000155267
5.99999e-06 0.000155491
5.99999e-06 0.000155716
5.99999e-06 0.000155941
5.99999e-06 0.000156165
5.99999e-06 0.00015639
5.99999e-06 0.000156615
5.99999e-06 0.00015684
5.99999e-06 0.000157064
5.99999e-06 0.000157289
5.99999e-06 0.000157514
5.99999e-06 0.000157738
5.99999e-06 0.000157963
5.99999e-06 0.000158188
5.99999e-06 0.000158412
5.99999e-06 0.000158637
5.99999e-06 0.000158862
5.99999e-06 0.000159087
5.99999e-06 0.000159311
5.99999e-06 0.000159536
5.99999e-06 0.000159761
5.99999e-06 0.000159985
5.99999e-06 0.00016021
5.99999e-06 0.000160435
5.99999e-06 0.000160659
5.99999e-06 0.000160884
5.99999e-06 0.000161109
5.99999e-06 0.000161334
5.99999e-06 0.000161558
5.99999e-06 0.000161783
5.99999e-06 0.000162008
5.99999e-06 0.000162232
5.99999e-06 0.000162457
5.99999e-06 0.000162682
5.99999e-06 0.000162906
5.99999e-06 0.000163131
5.99999e-06 0.000163356
5.99999e-06 0.000163581
5.99999e-06 0.000163805
5.99999e-06 0.00016403
5.99999e-06 0.000164255
5.99999e-06 0.000164479
5.99999e-06 0.000164704
5.99999e-06 0.000164929
5.99999e-06 0.000165153
5.99999e-06 0.000165378
5.99999e-06 0.000165603
5.99999e-06 0.000165827
5.99999e-06 0.000166052
5.99999e-06 0.000166277
5.99999e-06 0.000166502
5.99999e-06 0.000166726
5.99999e-06 0.000166951
5.99999e-06 0.000167176
5.99999e-06 0.0001674
5.99999e-06 0.000167625
5.99999e-06 0.00016785
5.99999e-06 0.000168074
5.99999e-06 0.000168299
5.99999e-06 0.000168524
5.99999e-06 0.000168749
5.99999e-06 0.000168973
5.99999e-06 0.000169198
5.99999e-06 0.000169423
5.99999e-06 0.000169647
5.99999e-06 0.000169872
5.99999e-06 0.000170097
5.99999e-06 0.000170321
5.99999e-06 0.000170546
5.99999e-06 0.000170771
5.99999e-06 0.000170996
5.99999e-06 0.00017122
5.99999e-06 0.000171445
5.99999e-06 0.00017167
5.99999e-06 0.000171894
5.99999e-06 0.000172119
5.99999e-06 0.000172344
5.99999e-06 0.000172568
5.99999e-06 0.000172793
5.99999e-06 0.000173018
5.99999e-06 0.000173243
5.99999e-06 0.000173467
5.99999e-06 0.000173692
5.99999e-06 0.000173917
5.99999e-06 0.000174141
5.99999e-06 0.000174366
5.99999e-06 0.000174591
5.99999e-06 0.000174815
5.99999e-06 0.00017504
5.99999e-06 0.000175265
5.99999e-06 0.00017549
5.99999e-06 0.000175714
5.99999e-06 0.000175939
5.99999e-06 0.000176164
5.99999e-06 0.000176388
5.99999e-06 0.000176613
5.99999e-06 0.000176838
5.99999e-06 0.000177062
5.99999e-06 0.000177287
5.99999e-06 0.000177512
5.99999e-06 0.000177737
5.99999e-06 0.000177961
5.99999e-06 0.000178186
5.99999e-06 0.000178411
5.99999e-06 0.000178635
5.99999e-06 0.00017886
5.99999e-06 0.000179085
5.99999e-06 0.000179309
5.99999e-06 0.000179534
5.99999e-06 0.000179759
5.99999e-06 0.000179983
5.99999e-06 0.000180208
5.99999e-06 0.000180433
5.99999e-06 0.000180658
5.99999e-06 0.000180882
5.99999e-06 0.000181107
5.99999e-06 0.000181332
5.99999e-06 0.000181556
5.99999e-06 0.000181781
5.99999e-06 0.000182006
5.99999e-06 0.00018223
5.99999e-06 0.000182455
5.99999e-06 0.00018268
5.99999e-06 0.000182905
5.99999e-06 0.000183129
5.99999e-06 0.000183354
5.99999e-06 0.000183579
5.99999e-06 0.000183803
5.99999e-06 0.000184028
5.99999e-06 0.000184253
5.99999e-06 0.000184477
5.99999e-06 0.000184702
5.99999e-06 0.000184927
5.99999e-06 0.000185152
5.99999e-06 0.000185376
5.99999e-06 0.000185601
5.99999e-06 0.000185826
5.99999e-06 0.00018605
5.99999e-06 0.000186275
5.99999e-06 0.0001865
5.99999e-06 0.000186724
5.99999e-06 0.000186949
5.99999e-06 0.000187174
5.99999e-06 0.000187399
5.99999e-06 0.000187623
5.99999e-06 0.000187848
5.99999e-06 0.000188073
5.99999e-06 0.000188297
5.99999e-06 0.000188522
5.99999e-06 0.000188747
5.99999e-06 0.000188971
5.99999e-06 0.000189196
5.99999e-06 0.000189421
5.99999e-06 0.000189646
5.99999e-06 0.00018987
5.99999e-06 0.000190095
5.99999e-06 0.00019032
5.99999e-06 0.000190544
5.99999e-06 0.000190769
5.99999e-06 0.000190994
5.99999e-06 0.000191218
5.99999e-06 0.000191443
5.99999e-06 0.000191668
5.99999e-06 0.000191893
5.99999e-06 0.000192117
5.99999e-06 0.000192342
5.99999e-06 0.000192567
5.99999e-06 0.000192791
5.99999e-06 0.000193016
5.99999e-06 0.000193241
5.99999e-06 0.000193465
5.99999e-06 0.00019369
5.99999e-06 0.000193915
5.99999e-06 0.000194139
5.99999e-06 0.000194364
5.99999e-06 0.000194589
5.99999e-06 0.000194814
5.99999e-06 0.000195038
5.99999e-06 0.000195263
5.99999e-06 0.000195488
5.99999e-06 0.000195712
5.99999e-06 0.000195937
5.99999e-06 0.000196162
5.99999e-06 0.000196386
5.99999e-06 0.000196611
5.99999e-06 0.000196836
5.99999e-06 0.000197061
5.99999e-06 0.000197285
5.99999e-06 0.00019751
5.99999e-06 0.000197735
5.99999e-06 0.000197959
5.99999e-06 0.000198184
5.99999e-06 0.000198409
5.99999e-06 0.000198633
5.99999e-06 0.000198858
5.99999e-06 0.000199083
5.99999e-06 0.000199308
5.99999e-06 0.000199532
5.99999e-06 0.000199757
5.99999e-06 0.000199982
5.99999e-06 0.000200206
5.99999e-06 0.000200431
5.99999e-06 0.000200656
5.99999e-06 0.00020088
5.99999e-06 0.000201105
5.99999e-06 0.00020133
5.99999e-06 0.000201555
5.99999e-06 0.000201779
5.99999e-06 0.000202004
5.99999e-06 0.000202229
5.99999e-06 0.000202453
5.99999e-06 0.000202678
5.99999e-06 0.000202903
5.99999e-06 0.000203127
5.99999e-06 0.000203352
5.99999e-06 0.000203577
5.99999e-06 0.000203802
5.99999e-06 0.000204026
5.99999e-06 0.000204251
5.99999e-06 0.000204476
5.99999e-06 0.0002047
5.99999e-06 0.000204925
5.99999e-06 0.00020515
5.99999e-06 0.000205374
5.99999e-06 0.000205599
5.99999e-06 0.000205824
5.99999e-06 0.000206049
5.99999e-06 0.000206273
5.99999e-06 0.000206498
5.99999e-06 0.000206723
5.99999e-06 0.000206947
5.99999e-06 0.000207172
5.99999e-06 0.000207397
5.99999e-06 0.000207621
5.99999e-06 0.000207846
5.99999e-06 0.000208071
5.99999e-06 0.000208296
5.99999e-06 0.00020852
5.99999e-06 0.000208745
5.99999e-06 0.00020897
5.99999e-06 0.000209194
5.99999e-06 0.000209419
5.99999e-06 0.000209644
